date,rise,tran,set
2019-01-01,07:03,12:27,17:51
2019-01-02,07:03,12:27,17:51
2019-01-03,07:03,12:28,17:52
2019-01-04,07:04,12:28,17:53
2019-01-05,07:04,12:28,17:53
2019-01-06,07:04,12:29,17:54
2019-01-07,07:04,12:29,17:55
2019-01-08,07:04,12:30,17:55
2019-01-09,07:05,12:30,17:56
2019-01-10,07:05,12:31,17:57
2019-01-11,07:05,12:31,17:57
2019-01-12,07:05,12:31,17:58
2019-01-13,07:05,12:32,17:59
2019-01-14,07:05,12:32,17:59
2019-01-15,07:05,12:33,18:00
2019-01-16,07:05,12:33,18:01
2019-01-17,07:05,12:33,18:01
2019-01-18,07:05,12:34,18:02
2019-01-19,07:05,12:34,18:03
2019-01-20,07:05,12:34,18:04
2019-01-21,07:05,12:34,18:04
2019-01-22,07:05,12:35,18:05
2019-01-23,07:05,12:35,18:06
2019-01-24,07:04,12:35,18:06
2019-01-25,07:04,12:35,18:07
2019-01-26,07:04,12:36,18:08
2019-01-27,07:04,12:36,18:08
2019-01-28,07:04,12:36,18:09
2019-01-29,07:03,12:36,18:10
2019-01-30,07:03,12:36,18:10
2019-01-31,07:03,12:37,18:11
2019-02-01,07:02,12:37,18:12
2019-02-02,07:02,12:37,18:12
2019-02-03,07:01,12:37,18:13
2019-02-04,07:01,12:37,18:13
2019-02-05,07:01,12:37,18:14
2019-02-06,07:00,12:37,18:15
2019-02-07,07:00,12:37,18:15
2019-02-08,06:59,12:37,18:16
2019-02-09,06:59,12:37,18:17
2019-02-10,06:58,12:38,18:17
2019-02-11,06:58,12:38,18:18
2019-02-12,06:57,12:38,18:18
2019-02-13,06:56,12:38,18:19
2019-02-14,06:56,12:37,18:19
2019-02-15,06:55,12:37,18:20
2019-02-16,06:55,12:37,18:20
2019-02-17,06:54,12:37,18:21
2019-02-18,06:53,12:37,18:22
2019-02-19,06:53,12:37,18:22
2019-02-20,06:52,12:37,18:23
2019-02-21,06:51,12:37,18:23
2019-02-22,06:50,12:37,18:24
2019-02-23,06:50,12:37,18:24
2019-02-24,06:49,12:37,18:24
2019-02-25,06:48,12:36,18:25
2019-02-26,06:47,12:36,18:25
2019-02-27,06:47,12:36,18:26
2019-02-28,06:46,12:36,18:26
2019-03-01,06:45,12:36,18:27
2019-03-02,06:44,12:36,18:27
2019-03-03,06:43,12:35,18:28
2019-03-04,06:43,12:35,18:28
2019-03-05,06:42,12:35,18:28
2019-03-06,06:41,12:35,18:29
2019-03-07,06:40,12:34,18:29
2019-03-08,06:39,12:34,18:30
2019-03-09,06:38,12:34,18:30
2019-03-10,06:37,12:34,18:30
2019-03-11,06:36,12:33,18:31
2019-03-12,06:36,12:33,18:31
2019-03-13,06:35,12:33,18:32
2019-03-14,06:34,12:33,18:32
2019-03-15,06:33,12:32,18:32
2019-03-16,06:32,12:32,18:33
2019-03-17,06:31,12:32,18:33
2019-03-18,06:30,12:32,18:33
2019-03-19,06:29,12:31,18:34
2019-03-20,06:28,12:31,18:34
2019-03-21,06:27,12:31,18:35
2019-03-22,06:26,12:30,18:35
2019-03-23,06:25,12:30,18:35
2019-03-24,06:24,12:30,18:36
2019-03-25,06:23,12:29,18:36
2019-03-26,06:22,12:29,18:36
2019-03-27,06:21,12:29,18:37
2019-03-28,06:21,12:29,18:37
2019-03-29,06:20,12:28,18:37
2019-03-30,06:19,12:28,18:38
2019-03-31,06:18,12:28,18:38
2019-04-01,06:17,12:27,18:38
2019-04-02,06:16,12:27,18:39
2019-04-03,06:15,12:27,18:39
2019-04-04,06:14,12:26,18:39
2019-04-05,06:13,12:26,18:40
2019-04-06,06:12,12:26,18:40
2019-04-07,06:11,12:26,18:40
2019-04-08,06:10,12:25,18:41
2019-04-09,06:09,12:25,18:41
2019-04-10,06:08,12:25,18:41
2019-04-11,06:08,12:25,18:42
2019-04-12,06:07,12:24,18:42
2019-04-13,06:06,12:24,18:43
2019-04-14,06:05,12:24,18:43
2019-04-15,06:04,12:24,18:43
2019-04-16,06:03,12:23,18:44
2019-04-17,06:02,12:23,18:44
2019-04-18,06:02,12:23,18:44
2019-04-19,06:01,12:23,18:45
2019-04-20,06:00,12:22,18:45
2019-04-21,05:59,12:22,18:46
2019-04-22,05:58,12:22,18:46
2019-04-23,05:58,12:22,18:46
2019-04-24,05:57,12:22,18:47
2019-04-25,05:56,12:21,18:47
2019-04-26,05:55,12:21,18:47
2019-04-27,05:55,12:21,18:48
2019-04-28,05:54,12:21,18:48
2019-04-29,05:53,12:21,18:49
2019-04-30,05:52,12:21,18:49
2019-05-01,05:52,12:20,18:50
2019-05-02,05:51,12:20,18:50
2019-05-03,05:50,12:20,18:50
2019-05-04,05:50,12:20,18:51
2019-05-05,05:49,12:20,18:51
2019-05-06,05:49,12:20,18:52
2019-05-07,05:48,12:20,18:52
2019-05-08,05:47,12:20,18:53
2019-05-09,05:47,12:20,18:53
2019-05-10,05:46,12:20,18:53
2019-05-11,05:46,12:20,18:54
2019-05-12,05:45,12:20,18:54
2019-05-13,05:45,12:20,18:55
2019-05-14,05:44,12:20,18:55
2019-05-15,05:44,12:20,18:56
2019-05-16,05:43,12:20,18:56
2019-05-17,05:43,12:20,18:57
2019-05-18,05:43,12:20,18:57
2019-05-19,05:42,12:20,18:58
2019-05-20,05:42,12:20,18:58
2019-05-21,05:42,12:20,18:58
2019-05-22,05:41,12:20,18:59
2019-05-23,05:41,12:20,18:59
2019-05-24,05:41,12:20,19:00
2019-05-25,05:40,12:20,19:00
2019-05-26,05:40,12:20,19:01
2019-05-27,05:40,12:20,19:01
2019-05-28,05:40,12:21,19:02
2019-05-29,05:39,12:21,19:02
2019-05-30,05:39,12:21,19:02
2019-05-31,05:39,12:21,19:03
2019-06-01,05:39,12:21,19:03
2019-06-02,05:39,12:21,19:04
2019-06-03,05:39,12:21,19:04
2019-06-04,05:39,12:22,19:05
2019-06-05,05:39,12:22,19:05
2019-06-06,05:39,12:22,19:05
2019-06-07,05:39,12:22,19:06
2019-06-08,05:39,12:22,19:06
2019-06-09,05:39,12:22,19:06
2019-06-10,05:39,12:23,19:07
2019-06-11,05:39,12:23,19:07
2019-06-12,05:39,12:23,19:07
2019-06-13,05:39,12:23,19:08
2019-06-14,05:39,12:23,19:08
2019-06-15,05:39,12:24,19:08
2019-06-16,05:39,12:24,19:09
2019-06-17,05:39,12:24,19:09
2019-06-18,05:39,12:24,19:09
2019-06-19,05:40,12:25,19:09
2019-06-20,05:40,12:25,19:10
2019-06-21,05:40,12:25,19:10
2019-06-22,05:40,12:25,19:10
2019-06-23,05:40,12:25,19:10
2019-06-24,05:41,12:26,19:11
2019-06-25,05:41,12:26,19:11
2019-06-26,05:41,12:26,19:11
2019-06-27,05:41,12:26,19:11
2019-06-28,05:42,12:26,19:11
2019-06-29,05:42,12:27,19:11
2019-06-30,05:42,12:27,19:11
2019-07-01,05:43,12:27,19:11
2019-07-02,05:43,12:27,19:11
2019-07-03,05:43,12:27,19:11
2019-07-04,05:44,12:28,19:11
2019-07-05,05:44,12:28,19:11
2019-07-06,05:44,12:28,19:11
2019-07-07,05:45,12:28,19:11
2019-07-08,05:45,12:28,19:11
2019-07-09,05:46,12:28,19:11
2019-07-10,05:46,12:29,19:11
2019-07-11,05:46,12:29,19:11
2019-07-12,05:47,12:29,19:11
2019-07-13,05:47,12:29,19:11
2019-07-14,05:48,12:29,19:11
2019-07-15,05:48,12:29,19:10
2019-07-16,05:48,12:29,19:10
2019-07-17,05:49,12:29,19:10
2019-07-18,05:49,12:30,19:10
2019-07-19,05:50,12:30,19:09
2019-07-20,05:50,12:30,19:09
2019-07-21,05:50,12:30,19:09
2019-07-22,05:51,12:30,19:08
2019-07-23,05:51,12:30,19:08
2019-07-24,05:52,12:30,19:08
2019-07-25,05:52,12:30,19:07
2019-07-26,05:53,12:30,19:07
